C,C_prime,label
9855876675859050100,335114898747170429,0
5890358885111359741,13148776318797508420,1
17422894415866719267,11438472536887373343,0
3016165503726599291,37580605100944496,1
12800698005416442304,18094947794288553068,1
15087032307991391127,16466797275698936677,1
14244545656744780064,1069194948105638400,0
15760863167895880789,10510771678613542463,1
11770643519216552513,9768184502376197946,0
16744796324012153680,2398382099685480181,0
1201521573049147810,3200955114358472916,1
11636810852291645829,16525971175662737250,0
14863206703677868003,7165704590036056615,0
4704146883149133823,3200261865226339447,0
17339143800242787385,11499106284797876883,0
2442014216676524297,17950893343338216618,1
10402215573083394025,8144319410100350203,0
3041251030584527290,16063275481305821116,0
7946156959951124071,3306162774728681876,0
4637729524734433999,9010501074537289830,0
5889878052576767109,10206793805148940326,1
9453350950646015671,7932172383234547809,0
5956373132457701073,11148404029659713933,0
10075517701714933190,2179810912017002924,1
17073793058751976696,5237909341617926279,1
14881516061540494316,16014181620638988127,0
10356361438861016452,7816213934036145279,0
6066167124594376194,267018728535102431,0
2452425651789655981,14081813145170626143,0
18177678641151082386,16001498706139959278,1
11441986863436832697,3306058305090208274,1
3881916259416970904,17025144163121580760,0
16469539097977400214,3778741910797056946,1
16239787649589392823,13586776882534953572,0
2266676047079713530,14125233247192471244,0
15426299589200140488,6764819483666690741,0
2420342915531380330,907047688463131677,0
12123360084457411471,12329682380308891310,0
13501235253976522958,8601924572027105750,1
12660975434145595162,8314157992272325488,1
7277464134606649087,4123775243735189022,1
14112182352411025688,6068687566410065705,1
5561555425876038671,7032868101553829914,1
4679714732808265552,4076133518021439184,0
7402017584802074668,8724340414455920216,0
2263189469609689804,5893550957577773695,0
13726818773258603562,3196598818346235345,1
5602943626739677675,17493422827618934473,0
10058555911577257754,12755720418840456412,1
5111361519964999967,14755922196339802665,0
16717839366034144951,1795307838931338566,1
272634082714361139,16237631747248586763,0
18437578290586157936,2607298494335461168,0
7160005380677765123,8154237129942642647,0
6102926262921761554,14974197123416737564,0
6064416224191186859,8439423338339468361,1
7198245053878526376,8593314649556565488,0
5313637719274664937,1636012824353164661,0
2716388554770446259,17447448761222417610,0
5396157287690854704,11452038664414809847,1
12830905747923671130,6141666150757642179,0
13076262412462432099,11842223350873954359,1
18007385680949007315,3962392778036379457,1
15137132493999362680,7260274346705054274,0
17082639404895302874,3427068494670980192,1
13085725918792701406,14278444190617492333,1
9670520571747346191,9452506554178845552,1
2931349541940079896,1891430185224202430,1
4535016818832527056,10152129566350860510,0
16375395684805873288,3798097176174063871,0
15501583554086460695,9384776470456858558,1
15316101086153574817,16191387851680294254,1
11619680321724432002,9331472238826222005,0
10114867645911884203,8201092572840644914,0
346742947261130955,8607622217374625403,1
6983245478178355134,12090809718139396954,1
8704064964977214440,4234545530148154660,1
17669012982458378261,60129484168227899,0
7784081175206524661,11553606965003904040,0
15678361748731453727,16572473890735031759,1
12640228577483742624,4242893838636814887,1
3992152226004205543,822580611798648555,1
16233904323502150101,9457572236260052995,1
16007643623100065142,17942633929342826957,0
13350836650446478539,1979159398111234822,0
2675857025107041949,11078549297750794686,1
11207885650735488901,10823220580356735160,1
17870844548918145603,4765037404324949049,1
3519822149100303679,13400327929142641938,1
13212994223493615333,11135897952233268572,0
687937749144446048,6337119219516323936,0
569909558403398370,6299544558763019555,0
7194109889783525171,684307636129367204,0
