C,C_prime,label
3986088871,541174589,0
998788414,2882701271,1
2628264450,2578189225,0
1726744825,2647009106,1
1870481686,2402628030,0
2663444564,2771221833,1
3253359912,2659611377,0
3106999810,858311721,0
3899395642,86491407,0
19335282,2541404830,1
3167220916,2040574911,0
3482696983,3229064413,0
3616682145,1318435929,0
209348964,1793342104,1
1328745711,2590510017,0
3113260607,3179251745,1
1193368604,1792696930,0
1722031748,3916231173,0
1522120996,2486676075,1
278399766,697425309,1
1283016556,1599913679,0
1084402766,11567358,1
1975695232,2931970613,0
69583698,2020840054,1
4074826157,3969879375,0
2110478306,592025455,1
1024388511,2869958467,1
3996977575,1867233102,1
1491543538,4138114857,0
1907153378,2514977066,0
2661115941,3112125920,0
2632555480,2488136696,0
1908534630,632335458,0
3512230210,1212676047,1
329778976,3667968308,1
3180965110,2282160195,0
1851067454,2721770599,0
169333398,3094701110,1
2079095195,2472154966,0
4257581942,745262985,1
1835301080,1464745617,1
3172251921,1440410080,0
498813052,2502739501,0
3363811552,4258600856,0
3017816723,3424782717,0
204534962,3054115402,1
51934232,3006697636,1
1374046889,3497825841,1
299791541,3182009258,0
1705442445,2817558906,1
2168080576,1498221649,0
1059477632,172052588,0
4048142882,694400650,1
4259689910,3470512282,1
2174396160,671376275,0
3466559688,1517400196,1
1858719599,1732937547,0
2429018611,610981613,0
1737431885,418187626,0
4221046969,1485435069,1
3336499726,590379874,1
3561759696,660995059,0
3081984475,865182203,1
3148226578,4196035041,0
1165819826,598060659,0
4007691259,3800423794,0
1853842839,2792691983,1
178983756,3713681790,0
75208562,1480961806,1
2139907323,761611754,0
1349685012,3664538088,1
3591087174,600395062,1
3832687863,2019564631,1
3477639888,392830593,1
505277064,931819982,0
932905973,4279498094,0
1940023062,2917138116,0
2583949775,2783409821,1
442902849,3607762880,0
987383657,3339511357,1
2062344121,4181120720,1
3412687728,358736797,0
3203724363,376018631,0
598054328,1236715813,0
1815178582,2881978814,0
1418381925,2951911961,0
3270170524,125853349,1
3580499322,3136396389,0
3852404973,1027109419,0
1588335851,1055906728,0
4174816689,3488622078,0
276987898,952546366,0
3396833475,4264828800,1
633303779,2868470846,0
1041067429,3593204161,1
681520569,3556131832,0
3319952697,3177708100,0
1049432047,3299085404,0
3268430425,3554313309,0
2373858786,152858851,0
2569925834,2361667501,0
454861977,719692809,0
3736489099,3136278389,0
3150301574,588500336,0
1628012593,3940253457,1
3322491259,749990098,1
1628765597,3112546713,0
3754757160,903311323,0
4252914791,964660139,0
233354314,2570808504,0
2025631430,4269171854,1
672062377,506687964,0
852603085,3438793674,1
892660954,3016152970,1
672670529,2056697248,1
1301013123,2077916074,0
3267844541,1357543311,0
609765043,2208023135,0
3065386620,176723632,1
887623133,3863985273,1
1903843414,3336344913,0
1794269758,3553235675,0
2245800167,3901570804,1
1185843766,3327919654,1
2556144350,82172775,1
1799367067,193259882,0
2096465835,3841936227,1
3628343000,4038217602,0
1538014793,4021735408,1
906092880,1663474325,1
150751726,1621005678,1
2083978756,250116171,1
154699641,4107242341,0
3652216862,612275729,0
4120610536,2286692286,1
497089224,2889856434,0
3222827044,2203766532,1
704906386,2412911878,1
1659849170,3902644018,1
1268310177,2103005294,0
1660852639,218927919,1
1826341142,3749691770,0
3289132164,490094734,1
508972639,2289863911,1
3405221259,627378139,1
3315103706,588794733,0
159799867,79794078,1
1470526507,2241771091,0
3672085441,2424150795,0
3655527638,3933010507,1
163272607,1766407055,1
1429149105,1667600040,1
1005814531,2783589925,0
979047320,2616274625,1
1280124509,795757992,0
489440001,2950810661,0
2229226683,4201425782,0
4097698482,3720834585,1
4241965658,1771100603,0
206771907,3460235280,0
1518452789,237015125,1
2408652747,4019137367,1
2921556068,1471649727,0
2407021427,3953468652,1
2501486260,1552217414,0
3363030876,1782948063,0
948021645,2209850952,1
2435979936,3227465799,0
2894943053,1628430973,1
1989311665,3230368165,0
222888616,2892860543,0
3037944134,1475236904,1
1821552485,4243876753,1
3259902868,1892641269,0
191089326,225580555,1
3207175225,670796186,1
1919795370,2239695318,1
4157810979,2677394878,0
2054457601,3966632777,1
2547163928,3451211326,1
3983886199,2720264016,1
2401356947,483646307,1
2119238637,1052717025,1
4079559588,4226254059,1
1211984285,3799271774,0
8556135,3071438588,0
1793227584,2871265252,1
3600322305,1877121996,0
1326433732,313548058,0
3114856775,1268412311,1
1728209632,1348223533,1
2257529889,243929332,1
3092410996,1552808484,0
3314578575,645096750,1
3699339630,3298405922,0
1083709565,2829978665,1
1968386245,1272846270,0
2431727562,4229058778,0
1963239373,4111627097,1
4224192551,3580473775,0
3048520481,1383508032,1
3036913295,4041049542,0
3877904451,963440892,0
163129589,3838134190,0
640259257,2553511457,1
2250519238,3290089162,1
3873235556,1126566684,1
55961553,3708617895,0
287649503,3273675856,0
1992570109,3537436469,0
